unit_id,cluster_id
1179687410,2
1179687406,2
1179687538,5
1179687468,1
1179687697,3
1179687695,1
1179687550,2
1179687505,4
1179687684,2
1179687459,1
1179687458,1
1179687455,4
1179687693,1
1179687524,5
1179687518,1
1179687516,4
1179687514,3
1179687512,5
1179687378,3
1179687530,4
1179687396,2
1179687394,5
1179687416,2
1179687444,3
1179687440,2
1179687466,5
1179687463,1
1179687461,4
1179687390,2
1179687388,2
1179687559,3
1179688377,2
1179688513,3
1179688689,3
1179688507,1
1179688505,3
1179688503,3
1179688501,2
1179688470,3
1179688454,1
1179688452,3
1179688450,5
1179688685,4
1179688473,1
1179688471,5
1179688444,5
1179688436,4
1179688678,2
1179688383,2
1179688375,4
1179688373,4
1179688365,2
1179688385,5
1179688553,2
1179688539,1
1179688681,4
1179688680,3
1179688442,1
1179688440,4
1179688438,5
1179688424,2
1179688422,3
1179688535,1
1179688533,2
1179688683,3
1179688462,5
1179688460,3
1179688434,5
1179688428,4
1179688731,3
1179688686,1
1179688733,1
1179688411,2
1179688409,3
1179688401,3
1179688405,1
1179688418,5
1179688432,3
1179688521,2
1179688715,3
1179688363,4
1179688466,1
1179688448,4
1179688387,3
1179688547,1
1179688403,4
1179688397,4
1179688370,3
1179688413,1
1179688362,1
1179688740,3
1179688688,3
1179688509,3
1179688491,3
1179688489,1
1179688477,5
1179688487,1
1179688484,1
1179689159,5
1179689158,4
1179689226,1
1179689155,1
1179689137,1
1179689178,1
1179689177,3
1179689288,3
1179689214,3
1179689213,1
1179689120,2
1179689109,2
1179689095,4
1179689094,1
1179689103,3
1179689133,4
1179689286,3
1179689285,2
1179689284,4
1179689175,3
1179689174,1
1179689197,2
1179689124,2
1179689179,4
1179689090,4
1179689282,2
1179689145,4
1179689144,4
1179689143,4
1179689142,1
1179689188,3
1179689185,1
1179689281,3
1179689135,5
1179689134,5
1179689194,5
1179689193,3
1179689192,3
1179689212,5
1179689150,5
1179689149,4
1179689234,1
1179689136,1
1179689217,2
1179689116,2
1179689097,2
1179689238,3
1179689104,5
1179689128,1
1179689211,2
1179689210,1
1179689206,1
1179689205,1
1179689160,1
1179689154,5
1179689153,5
1179689152,4
1179689151,4
1179689184,1
1179689182,4
1179689181,2
1179689201,1
1179689106,4
1179689131,5
1179689198,3
1053056656,4
1053056655,1
1053056653,5
1053056606,4
1053056742,2
1053056754,3
1053056745,5
1053056620,2
1053056618,3
1053056599,2
1053056668,3
1053056667,5
1053056666,1
1053056658,2
1053056651,4
1053056757,3
1053056688,2
1053056687,1
1053056625,1
1053056696,2
1053056646,3
1053056638,4
1053056637,4
1053056662,3
1053056661,4
1053056744,3
1053056611,4
1053056751,2
1053056664,4
1053056685,2
1053056684,2
1053056702,1
1053056635,2
1053056627,1
1053056607,2
1053056699,2
1053056766,1
1053056634,5
1053056633,2
1053056632,1
1053056631,2
1053056628,5
1053056671,3
1053056640,1
1053056676,4
1053056675,3
1053056650,4
1053056649,3
1053056648,3
1053056679,2
1053056624,3
1053056604,4
1053056603,2
1053056636,5
1053056601,2
1053056787,2
1053056616,1
1053056600,3
1053056647,4
1053056630,1
1053056761,2
1053056760,2
1053056691,1
1053056690,2
1053056643,2
1053056641,2
1053056639,1
1053056935,1
1053056978,1
1053056975,1
1053056926,1
1053056985,1
1053056969,4
1053057044,2
1053056973,5
1053057006,2
1053056966,1
1053056964,5
1053056957,5
